15	"Arvidsson, Viktor"	STA	RW	82	37	12	49	33	24	3	0	5	1	215	17.2	1187	14.5	1	2	3	33.3	244	101	345	70.7	64	68	132	48.5	0	0	0	0	0.0	75	0.91	2	0.024	1	5	11	1	0	0	0	0	0	0	2019-20	Regular	Veteran
16	"Aston-Reese, Zach"	ATL	LW	69	5	7	12	-39	54	0	1	0	0	68	7.4	853	12.4	10	14	24	41.7	153	73	226	67.7	61	55	116	52.6	2	0	5	7	28.6	135	1.96	0	0.000	0	2	6	1	1	7	0	0	0	0	2019-20	Regular	Rookie
17	"Athanasiou, Andreas"	SCS	RW	82	44	34	78	11	48	4	0	6	0	303	14.5	1468	17.9	8	15	23	34.8	500	149	649	77.0	112	105	217	51.6	0	0	0	0	0.0	92	1.12	1	0.012	1	7	14	0	0	0	0	2	0	0	2019-20	Regular	Veteran
18	"Atkinson, Cam"	MIL	RW	82	46	38	84	48	26	11	0	5	0	431	10.7	1647	20.1	6	11	17	35.3	534	122	656	81.4	96	91	187	51.3	0	0	0	0	0.0	111	1.35	0	0.000	0	6	2	11	0	0	0	0	0	0	2019-20	Regular	Veteran
19	"McGinn, Brock"	STA	LW	82	7	22	29	2	20	3	1	1	1	108	6.5	961	11.7	7	16	23	30.4	228	96	324	70.4	54	38	92	58.7	0	0	0	0	0.0	117	1.43	2	0.024	1	5	10	0	0	0	0	0	0	0	2019-20	Regular	Veteran
20	"Nelson, Brock"	CHY	C	82	16	13	29	2	16	0	0	2	1	108	14.8	818	10.0	296	436	732	40.4	272	81	353	77.1	65	51	116	56.0	0	0	0	0	0.0	78	0.95	2	0.024	0	2	8	0	0	0	0	0	0	0	2019-20	Regular	Veteran
21	"Ritchie, Brett"		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
22	"Ryan, Bobby"		RW	36	5	9	14	-18	14	1	0	1	0	68	7.4	535	14.9	6	12	18	33.3	165	45	210	78.6	32	23	55	58.2	0	0	0	0	0.0	40	1.11	0	0.000	1	3	7	0	0	0	0	0	0	0	2019-20	Regular	Veteran
23	"Schenn, Brayden"	MSG	C	79	13	44	57	-25	87	2	1	0	0	165	7.9	1438	18.2	476	702	1178	40.4	544	147	691	78.7	141	76	217	65.0	0	0	6	6	0.0	193	2.44	2	0.025	3	4	15	1	5	6	0	0	0	0	2019-20	Regular	Veteran
24	"Tanev, Brandon"	KEL	RW	82	17	13	30	-1	69	4	0	5	0	141	12.1	902	11.0	7	9	16	43.8	240	79	319	75.2	56	47	103	54.4	0	0	6	6	0.0	111	1.35	20	0.244	0	5	16	1	1	6	0	0	0	0	2019-20	Regular	Veteran
