Ouellet, Xavier	0.700	0.700	RFA		
Ozhiganov, Igor	1.775	UFA			
Parayko, Colton	5.500	5.500	5.500	5.500	UFA
Pateryn, Greg	2.250	2.250	2.250	UFA	
Pelech, Adam	1.600	1.600	1.600	RFA	
Pesce, Brett	4.025	4.025	4.025	4.025	4.025
Petrovic, Alex	1.950	0.700	UFA		
Petry, Jeff	5.500	5.500	5.500	UFA	
Pettersson, Marcus	0.894	0.874	RFA		
Phaneuf, Dion	7.000	UFA			
Pietrangelo, Alex	6.500	6.500	UFA		
Pilut, Lawrence	1.350	1.350	RFA		
Pionk, Neal	1.775	3.000	3.000	RFA	
Polak, Roman	1.300	1.750	UFA		
Poolman, Tucker	0.775	0.775	0.775	UFA	
Pouliot, Derrick	1.100	0.700	RFA		
Prosser, Nate	0.650	0.700	0.700	UFA	
Prout, Dalton	0.800	0.800	UFA		
Provorov, Ivan	1.744	6.750	6.750	6.750	6.750
Pulock, Ryan	2.000	2.000	RFA		
Pysyk, Mark	2.733	2.733	UFA		
Reilly, Mike	0.725	1.500	1.500	UFA	
Reinhart, Griffin	0.800	UFA			
Rielly, Morgan	5.000	5.000	5.000	5.000	UFA
Riikola, Juuso	1.775	0.850	RFA		
Ristolainen, Rasmus	5.400	5.400	5.400	5.400	UFA
Rosen, Calle	1.775	0.750	0.750	UFA	
Roy, Matt	0.925	0.700	0.700	RFA	
Ruhwedel, Chad	0.650	0.700	0.700	UFA	
Russell, Kris	4.000	4.000	4.000	UFA	
Russo, Robbie	0.650	0.700	UFA		
Rutta, Jan	2.250	1.300	UFA		
Ryan, Joakim	0.650	0.725	UFA		
Sandin, Rasmus	0.925	0.894	0.894	0.894	RFA
Sanheim, Travis	1.263	3.250	3.250	RFA	
Santini, Steven	1.417	1.417	1.417	RFA	
Sautner, Ashton	0.675	0.675	RFA		
Savard, David	4.250	4.250	4.250	UFA	
Sbisa, Luca	1.500	0.750	UFA		
Scandella, Marco	4.000	4.000	UFA		
Schenn, Luke	0.800	0.700	UFA		
Schilling, Cameron	0.650	0.700	UFA		
Schlemko, David	2.100	UFA			
Schmaltz, Jordan	0.700	0.700	RFA		
Schmidt, Nate	2.225	5.950	5.950	5.950	5.950
Schuldt, Jimmy	6.568	0.850	RFA		
Schultz, Justin	5.500	5.500	UFA		
Seabrook, Brent	6.875	6.875	6.875	6.875	6.875
Seeler, Nick	0.725	0.725	0.725	UFA	
Seidenberg, Dennis	0.700	RETIRED			
Sekera, Andrej	5.500	2.000	UFA		
Sergachev, Mikhail	1.744	1.744	RFA		
Severson, Damon	4.167	4.167	4.167	4.167	4.167
Shattenkirk, Kevin	6.650	1.750	UFA		
Siegenthaler, Jonas	0.888	0.888	RFA		
Sieloff, Patrick	0.700	0.700	RFA		
Simek, Radim	0.675	0.675	UFA		
Simpson, Dillon	0.675	0.675	UFA		
Skjei, Brady	5.250	5.250	5.250	5.250	5.250
Slavin, Jaccob	5.300	5.300	5.300	5.300	5.300
Smith, Brendan	4.350	4.350	4.350	UFA	
Soucy, Carson	0.925	0.750	RFA		
Spurgeon, Jared	5.188	5.188	7.575	7.575	7.575
Staal, Marc	5.700	5.700	5.700	UFA	
Stecher, Troy	2.325	2.325	RFA		
Stone, Michael	3.500	0.700	UFA		
Strait, Brian	0.675	0.675	UFA		
Stralman, Anton	4.500	5.500	5.500	5.500	UFA
Subban, P.K.	9.000	9.000	9.000	9.000	UFA
Sustr, Andrej	1.300	KHL			
Suter, Ryan	7.538	7.538	7.538	7.538	7.538
Tanev, Chris	4.450	4.450	UFA		
Tennyson, Matt	0.650	0.700	0.700	UFA	
Theodore, Shea	5.200	5.200	5.200	5.200	5.200
Timmins, Conor	0.925	0.925	0.925	RFA	
Tinordi, Jarred	0.650	0.700	0.700	UFA	
Toews, Devon	0.700	0.700	RFA		
Toninato, Dominic	0.925	0.700	RFA		
Trotman, Zach	0.650	0.700	0.700	UFA	
Trouba, Jacob	5.500	8.000	8.000	8.000	8.000
Vaakanainen, Urho	1.333	1.303	1.303	1.303	RFA
Valiev, Rinat	0.650	0.700	RFA		
Valimaki, Juuso	1.319	1.319	1.319	RFA	
