Mikheyev, Ilya	8481624		
Martinook, Jordan	8476921	332	
Luostarinen, Eetu	8480185		
Reimer, James	8473503		61
Staal, Jordan	8473533	231	
Gardiner, Jake	8474581	591	
Haula, Erik	8475287	205	
Niederreiter, Nino	8475799	353	
Mrazek, Petr	8475852		51
Gibbons, Brian	8476207	183	
Dzingel, Ryan	8476288	137	
Edmundson, Joel	8476441	576	
Hamilton, Dougie	8476462	613	
Teravainen, Teuvo	8476882	470	
McGinn, Brock	8476934	19	
Slavin, Jaccob	8476958	756	
Pesce, Brett	8477488	711	
van Riemsdyk, Trevor	8477845	766	
Fleury, Haydn	8477938		
Foegele, Warren	8477998	163	
Wallmark, Lucas	8478027	492	
Aho, Sebastian	8478427	9	
Necas, Martin	8480039		
Svechnikov, Andrei	8480830	461	
Boyle, Brian	8470619	54	
Yandle, Keith	8471735	778	
Stralman, Anton	8471873	759	
Sceviour, Colton	8474098	425	
Dadonov, Evgenii	8474149	112	
Hoffman, Mike	8474884	219	
Bobrovsky, Sergei	8475683		7
Connolly, Brett	8475792	95	
Pysyk, Mark	8475796	725	
Trocheck, Vincent	8476389	476	
Huberdeau, Jonathan	8476456	223	
Matheson, Mike	8476875	677	
Weegar, Mackenzie	8477346	770	
Brown, Josh	8477384	632	
Barkov, Aleksander	8477493	32	
Ekblad, Aaron	8477932	577	
Hawryluk, Jayce	8477963	206	
Hunt, Dryden	8478211	109	
Vatrano, Frank	8478366	483	
Montembeault, Sam	8478470		
Acciari, Noel	8478569	6	
Malgin, Denis	8478843	321	
McElhinney, Curtis	8470147		48
Coburn, Braydon	8470601	551	
Killorn, Alex	8473986	264	
Shattenkirk, Kevin	8474031	752	
Maroon, Pat	8474034	330	
McDonagh, Ryan	8474151	682	
Stamkos, Steven	8474564	451	
Schenn, Luke	8474568	658	
Johnson, Tyler	8474870	462	
Hedman, Victor	8475167	619	
Palat, Ondrej	8476292	369	
Kucherov, Nikita	8476453	275	
Gourde, Yanni	8476826	189	
Vasilevskiy, Andrei	8476883		73
Paquette, Cedric	8476975	376	
Verhaeghe, Carter	8477409		
Point, Brayden	8478010	392	
Cernak, Erik	8478416	543	
Joseph, Mathieu	8478472	247	
Cirelli, Anthony	8478519	84	
Sergachev, Mikhail	8479410	750	
Rutta, Jan	8480172	735	
Boyd, Travis	8476329	53	
O’Brien, Liam	8477070		
Lewington, Tyler	8477343		
Ovechkin, Alex	8471214	363	
Oshie, T.J.	8471698	362	
Backstrom, Nicklas	8473563	28	
Hagelin, Carl	8474176	198	
Eller, Lars	8474189	149	
Carlson, John	8474590	540	
Holtby, Braden	8474651		31
Orlov, Dimitry	8475200	703	
Panik, Richard	8475209	375	
Jensen, Nick	8475324	639	
Dowd, Nic	8475343	123	
Gudas, Radko	8475462	604	
Kuznetsov, Evgeny	8475744	282	
Wilson, Tom	8476880	465	
Leipsic, Brendan	8476894	298	
Stephenson, Chandler	8476905	456	
Hathaway, Garnet	8477903	204	
Vrana, Jakub	8477944	489	
Siegenthaler, Jonas	8478399	753	
Samsonov, Ilya	8478492		
Kempny, Michal	8479482	647	
Murphy, Connor	8476473	694	
Keith, Duncan	8470281	646	
Seabrook, Brent	8470607	747	
Crawford, Corey	8470645		14
Toews, Jonathan	8473604	232	
Kane, Patrick	8474141	364	
Smith, Zack	8474250	503	
de Haan, Calvin	8475177	559	
Lehner, Robin	8475215		39
Shaw, Andrew	8476381	432	
Saad, Brandon	8476438	422	
Maatta, Olli	8476874	669	
Koekkoek, Slater	8476886	651	
Gustafsson, Erik	8476979	607	
Kubalik, Dominik	8477330		
Carpenter, Ryan	8477846	75	
Strome, Dylan	8478440	111	
DeBrincat, Alex	8479337	118	
Nylander, Alex	8479423	2	
Caggiula, Drake	8479465	71	
Kampf, David	8480144	255	
Dach, Kirby	8481523		
Daley, Trevor	8470110	557	
Abdelkader, Justin	8471716	4	
Glendening, Luke	8476822	186	
DeKeyser, Danny	8477215	561	
