Appleton, Mason*		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
Armia, Joel	IND	RW	1	0	0	0	1	0	0	0	0	0	3	0.0	15	15.0	0	0	0	0.0	6	2	8	75.0	1	0	1	100.0	0	0	0	0	0.0	2	2.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
Arvidsson, Viktor	STA	RW	18	16	5	21	14	2	0	0	1	1	68	23.5	297	16.5	1	1	2	50.0	59	27	86	68.6	10	14	24	41.7	0	0	0	0	0.0	24	1.33	1	0.056	2	5	1	0	0	0	0	0	0	0	2019-20	Regular
Aston-Reese, Zach*	ATL	LW	10	1	0	1	-2	10	0	0	0	0	7	14.3	87	8.7	3	2	5	60.0	20	7	27	74.1	7	6	13	53.8	0	0	1	1	0.0	20	2.00	0	0.000	0	1	0	0	1	1	0	0	0	0	2019-20	Regular
Athanasiou, Andreas	SCS	RW	18	11	10	21	9	0	2	0	0	0	69	15.9	306	17.0	2	2	4	50.0	101	35	136	74.3	23	17	40	57.5	0	0	0	0	0.0	21	1.17	0	0.000	2	6	0	0	0	0	0	0	0	0	2019-20	Regular
Atkinson, Cam	MIL	RW	18	14	9	23	15	6	3	0	1	0	104	13.5	367	20.4	4	6	10	40.0	135	18	153	88.2	20	18	38	52.6	0	0	0	0	0.0	20	1.11	0	0.000	2	6	1	2	0	0	0	0	0	0	2019-20	Regular
B. McGinn, Brock	STA	LW	18	0	7	7	2	0	0	0	0	0	22	0.0	158	8.8	0	4	4	0.0	35	23	58	60.3	8	6	14	57.1	0	0	0	0	0.0	22	1.22	0	0.000	0	2	0	0	0	0	0	0	0	0	2019-20	Regular
B. Nelson, Brock	CHY	C	18	8	2	10	4	4	0	0	0	0	31	25.8	203	11.3	77	115	192	40.1	69	21	90	76.7	17	12	29	58.6	0	0	0	0	0.0	24	1.33	0	0.000	0	2	2	0	0	0	0	0	0	0	2019-20	Regular
B. Ritchie, Brett		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
B. Ryan, Bobby	ATL	RW	18	3	5	8	-6	6	1	0	0	0	32	9.4	278	15.4	4	7	11	36.4	89	20	109	81.7	14	14	28	50.0	0	0	0	0	0.0	19	1.06	0	0.000	1	3	3	0	0	0	0	0	0	0	2019-20	Regular
B. Schenn, Brayden	AUG	C	18	1	5	6	-8	19	0	0	0	0	33	3.0	329	18.3	98	179	277	35.4	123	33	156	78.8	40	24	64	62.5	0	0	1	1	0.0	51	2.83	0	0.000	0	2	7	0	0	1	0	0	0	0	2019-20	Regular
B. Tanev, Brandon	KEL	RW	18	4	2	6	2	26	2	0	2	0	37	10.8	214	11.9	2	2	4	50.0	58	24	82	70.7	14	8	22	63.6	0	0	3	3	0.0	36	2.00	3	0.167	1	2	3	0	1	3	0	0	0	0	2019-20	Regular
B. Tkachuk, Brady*	GRE	LW	16	3	6	9	-5	20	0	0	0	0	49	6.1	258	16.1	4	14	18	22.2	73	35	108	67.6	30	18	48	62.5	0	0	2	2	0.0	38	2.38	0	0.000	0	3	4	1	0	2	0	0	0	0	2019-20	Regular
Backes, David		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
Backlund, Mikael	MIL	C	18	3	2	5	0	6	0	0	1	0	32	9.4	190	10.6	73	64	137	53.3	59	20	79	74.7	10	11	21	47.6	0	0	0	0	0.0	8	0.44	0	0.000	1	1	3	0	0	0	0	0	0	0	2019-20	Regular
Backstrom, Nicklas	MSG	C	18	5	6	11	-2	6	4	1	0	0	35	14.3	291	16.2	121	169	290	41.7	123	30	153	80.4	20	17	37	54.1	0	0	0	0	0.0	14	0.78	0	0.000	2	3	2	1	0	0	0	0	0	0	2019-20	Regular
Baertschi, Sven		LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular
