Frost, Morgan	0.894	0.863	0.863	0.863	RFA
Gaborik, Marian	4.875	4.875	4.875	UFA	
Gabriel, Kurtis	0.650	0.700	UFA		
Gagner, Sam	3.150	3.150	UFA		
Galchenyuk, Alex	4.900	4.900	UFA		
Gallagher, Brendan	3.750	3.750	3.750	UFA	
Gambardella, Joseph	0.725	0.700	0.700	UFA	
Gambrell, Dylan	1.138	0.700	0.700	RFA	
Gardner, Rhett	NCAA	0.925	0.925	RFA	
Garland, Conor	0.822	0.775	0.775	RFA	
Gaudet, Tyler	0.650	0.700	UFA		
Gaudette, Adam	1.492	1.492	RFA		
Gaudreau, Frederick	0.667	0.667	UFA		
Gaudreau, Johnny	6.750	6.750	6.750	6.750	UFA
Gaunce, Brendan	0.750	0.700	RFA		
Gauthier, Frederik	0.675	0.675	RFA		
Gauthier, Julien	1.163	1.163	1.163	RFA	
Gerbe, Nathan	0.675	0.675	UFA		
Gettinger, Tim	0.730	0.730	0.730	RFA	
Getzlaf, Ryan	8.250	8.250	8.250	UFA	
Gibbons, Brian	1.000	0.725	UFA		
Girgensons, Zemgus	1.600	1.600	UFA		
Giroux, Claude	8.275	8.275	8.275	8.275	UFA
Glass, Cody	1.744	1.713	1.713	1.713	RFA
Glendening, Luke	1.800	1.800	1.800	UFA	
Goldobin, Nikolay	1.076	0.900	RFA		
Goodrow, Barclay	0.650	0.925	0.925	UFA	
Goulbourne, Tyrell	0.715	0.700	0.700	UFA	
Gourde, Yanni	1.000	5.167	5.167	5.167	5.167
Grabner, Michael	3.350	3.350	3.350	UFA	
Granlund, Markus	1.475	1.300	UFA		
Granlund, Mikael	5.750	5.750	UFA		
Grant, Derek	0.650	0.700	UFA		
Graovac, Tyler	0.650	0.700	UFA		
Greenway, Jordan	1.225	1.225	RFA		
Greer, A.J.	0.825	0.735	RFA		
Gregor, Noah	0.850	0.850	0.850	RFA	
Griffith, Seth	0.650	0.700	UFA		
Grimaldi, Rocco	0.650	1.000	UFA		
Grundstrom, Carl	0.925	0.925	RFA		
Guentzel, Jake	0.925	6.000	6.000	6.000	6.000
Gurianov, Denis	1.644	1.644	RFA		
Gusev, Nikita	0.925	4.500	4.500	UFA	
Gustafsson, David	SWEDEN	0.925	0.925	0.925	RFA
Haas, Gaetan	SWISS	1.563	UFA		
Hagelin, Carl	4.000	2.750	2.750	2.750	2.750
Haley, Michael	0.825	0.700	UFA		
Hall, Taylor	6.000	6.000	UFA		
Hannikainen, Markus	0.675	0.750	UFA		
Hanzal, Martin	4.750	4.750	UFA		
Hartman, Ryan	0.875	1.900	1.900	RFA	
Hathaway, Garnet	0.850	1.500	1.500	1.500	1.500
Haula, Erik	2.750	2.750	UFA		
Hawryluk, Jayce	0.925	0.874	RFA		
Hayden, John	0.750	0.750	RFA		
Hayes, Jimmy	0.650	UFA			
Hayes, Kevin	5.175	7.143	7.143	7.143	7.143
Hayton, Barrett	2.675	2.644	2.644	2.644	RFA
Heinen, Danton	0.996	2.800	2.800	RFA	
Helm, Darren	3.850	3.850	3.850	UFA	
Hendricks, Matt	0.700	RETIRED			
Henrique, Adam	4.000	5.850	5.850	5.850	5.850
Hertl, Tomas	5.625	5.625	5.625	5.625	UFA
Highmore, Matthew	0.925	0.925	RFA		
Hinostroza, Vinnie	1.500	1.500	RFA		
Hintz, Roope	0.925	0.925	RFA		
Hirose, Taro	1.350	1.350	RFA		
Hischier, Nico	3.775	3.775	7.250	7.250	7.250
Ho-Sang, Joshua	1.076	0.874	RFA		
Hoffman, Mike	5.188	5.188	UFA		
Hornqvist, Patric	5.300	5.300	5.300	5.300	5.300
Horton, Nathan	5.300	5.300	UFA		
Horvat, Bo	5.500	5.500	5.500	5.500	5.500
Hossa, Marian	5.275	5.275	5.275	UFA	
Howden, Brett	0.863	0.863	0.863	RFA	
Huberdeau, Jonathan	5.900	5.900	5.900	5.900	5.900
Hudon, Charles	0.650	0.800	RFA		
Hughes, Jack	USDP	3.775	3.775	3.775	RFA
Hunt, Dryden	0.925	0.715	RFA		
Hyka, Tomas	0.650	KHL			
Hyman, Zach	2.250	2.250	2.250	UFA	
Iafallo, Alex	0.925	2.425	2.425	UFA	
Jankowski, Mark	1.675	1.675	RFA		
Janmark, Mattias	2.300	2.300	UFA		
Jarnkrok, Calle	2.000	2.000	2.000	2.000	UFA
Jaskin, Dmitrij	1.100	KHL			
Jenner, Boone	3.750	3.750	3.750	3.750	UFA
Johansen, Ryan	8.000	8.000	8.000	8.000	8.000
Johansson, Marcus	4.583	4.500	4.500	UFA	
Johnson, Adam	0.925	0.700	RFA		
Johnson, Luke	0.925	0.700	0.700	RFA	
Johnson, Tyler	5.000	5.000	5.000	5.000	5.000
Johnsson, Andreas	0.788	3.400	3.400	3.400	3.400
Johnston, Ross	1.000	1.000	1.000	1.000	UFA
Jones, Max	0.863	0.863	0.863	RFA	
Joseph, Mathieu	0.911	0.911	RFA		
Jost, Tyson	1.673	1.673	RFA		
Jurco, Tomas	MINORS	0.750	UFA		
Kadri, Nazem	4.500	4.500	4.500	4.500	UFA
Kahun, Dominik	3.775	3.775	RFA		
Kakko, Kaapo	FINLAND	3.575	3.575	3.575	RFA
Kamenev, Vladislav	0.894	0.750	RFA		
Kampf, David	0.925	1.000	1.000	RFA	
Kane, Evander	7.000	7.000	7.000	7.000	7.000
Kane, Patrick	10.500	10.500	10.500	10.500	10.500
Kapanen, Kasperi	0.863	3.200	3.200	3.200	RFA
Karlsson, Melker	2.000	2.000	UFA		
Karlsson, William	5.250	5.900	5.900	5.900	5.900
Kase, David	0.850	0.850	0.850	RFA	
Kase, Ondrej	2.600	2.600	2.600	RFA	
Kassian, Zack	1.950	1.950	UFA		
Keller, Clayton	1.673	1.673	7.150	7.150	7.150
Kempe, Adrian	0.894	2.000	2.000	2.000	RFA
Kempe, Mario	0.700	0.700	UFA		
Kerfoot, Alexander	1.138	3.500	3.500	3.500	3.500
Kero, Tanner	0.750	0.738	0.738	UFA	
Kesler, Ryan	6.875	6.875	6.875	6.875	UFA
Kessel, Phil	8.000	8.000	8.000	8.000	UFA
Khaira, Jujhar	0.675	1.200	1.200	RFA	
Killorn, Alex	4.450	4.450	4.450	4.450	4.450
Klimchuk, Morgan	0.700	0.700	RFA		
Knight, Corban	0.650	KHL			
Koivu, Mikko	5.500	5.500	UFA		
Komarov, Leo	3.000	3.000	3.000	3.000	UFA
Konecny, Travis	1.107	5.500	5.500	5.500	5.500
Kopitar, Anze	10.000	10.000	10.000	10.000	10.000
Kossila, Kalle	0.650	0.700	0.700	UFA	
Kostin, Klim	1.138	1.138	RFA		
Kotkaniemi, Jesperi	3.425	3.425	3.425	RFA	
Kovalchuk, Ilya	6.250	6.250	6.250	UFA	
Kravtsov, Vitali	KHL	1.775	1.775	1.775	RFA
Kreider, Chris	4.625	4.625	UFA		
Krejci, David	7.250	7.250	7.250	UFA	
Kruger, Marcus	3.083	SWISS			
Kubalik, Dominik	SWISS	1.775	RFA		
Kucherov, Nikita	4.767	9.500	9.500	9.500	9.500
Kuhlman, Karson	0.763	0.763	RFA		
Kuhnhackl, Tom	0.700	0.850	UFA		
Kunin, Luke	1.425	1.425	RFA		
Kunitz, Chris	1.000	RETIRED			
Kuraly, Sean	1.275	1.275	1.275	UFA	
Kuznetsov, Evgeny	7.800	7.800	7.800	7.800	7.800
Kyrou, Jordan	0.880	0.880	0.880	RFA	
Labanc, Kevin	0.925	1.000	RFA		
Ladd, Andrew	5.500	5.500	5.500	5.500	5.500
Lafferty, Sam	0.925	0.925	RFA		
Laine, Patrik	3.575	6.750	6.750	RFA	
Lammikko, Juho	0.925	FINLAND			
Landeskog, Gabriel	5.571	5.571	5.571	UFA	
Lappin, Nick	0.700	0.700	UFA		
Larkin, Dylan	6.100	6.100	6.100	6.100	6.100
Larsson, Johan	1.475	1.550	UFA		
Laughton, Scott	0.963	2.300	2.300	UFA	
Lazar, Curtis	0.950	0.700	RFA		
Lee, Anders	3.750	7.000	7.000	7.000	7.000
Lehkonen, Artturi	0.925	2.400	2.400	RFA	
Lehtera, Jori	4.700	KHL			
Leipsic, Brendan	0.650	0.700	UFA		
Leivo, Josh	0.925	1.500	UFA		
Lemieux, Brendan	1.039	0.925	RFA		
L'Esperance, Joel	0.723	0.723	RFA		
Letestu, Mark	0.750	0.700	UFA		
Lettieri, Vinni	0.925	0.700	RFA		
Lewis, Trevor	2.000	2.000	UFA		
Liambas, Michael	0.675	0.675	UFA		
Lindberg, Oscar	1.700	SWISS			
Lindblom, Oskar	1.138	1.138	RFA		
Lindholm, Elias	4.850	4.850	4.850	4.850	4.850
Lindholm, Par	1.775	0.850	0.850	UFA	
Lipon, J.C.	0.650	0.700	RFA		
Little, Bryan	5.292	5.292	5.292	5.292	5.292
Lizotte, Blake	1.492	1.492	1.492	RFA	
Lomberg, Ryan	0.710	0.700	RFA		
Lowry, Adam	2.917	2.917	2.917	UFA	
Lucic, Milan	6.000	6.000	6.000	6.000	6.000
Luff, Matt	0.677	0.677	RFA		
Lundestrom, Isac	0.925	0.925	0.925	RFA	
Luoto, Joona	FINLAND	0.758	0.758	0.758	RFA
MacArthur, Clarke	4.650	4.650	UFA		
MacEachern, MacKenzie	0.650	0.750	RFA		
MacEwen, Zack	0.996	0.996	RFA		
MacKenzie, Derek	1.375	RETIRED			
MacKinnon, Nathan	6.300	6.300	6.300	6.300	6.300
Maenalanen, Saku	1.275	KHL			
Malgin, Denis	0.693	0.750	RFA		
Malkin, Evgeni	9.500	9.500	9.500	9.500	UFA
Malone, Brad	0.650	0.700	UFA		
Mamin, Maxim	0.925	KHL			
Mangiapane, Andrew	0.800	0.715	RFA		
Mantha, Anthony	3.300	3.300	RFA		
