Fleury, Marc-Andre	IND	61	3635	2.51	35	21	5	9	8	152	1593	1745	0.913	0	2	2	4	4	3	2
Jones, Martin	 	62	3597	2.94	36	19	5	8	3	176	1523	1699	0.896	0	1	1	2	3	4	2
Murray, Matt	OKL	50	2880	2.69	29	14	6	4	4	129	1465	1594	0.919	0	0	0	4	3	3	2
Smith, Mike	 	42	2400	2.73	23	16	2	5	2	109	960	1069	0.898	0	3	3	2	2	3	5
Subban, Malcolm	 	21	1227	2.93	8	10	2	2	1	60	552	612	0.902	0	0	0	4	4	4	2
Markstrom, Jacob	SCS	60	3599	2.77	28	23	9	4	1	166	1730	1896	0.912	0	3	3	2	5	4	2
McElhinney, Curtis	SEA	33	1978	2.58	20	11	2	3	2	85	883	968	0.912	0	0	0	0	3	2	2
McKenna, Mike	 	11	511	3.99	1	5	1	3	0	34	282	316	0.892	0	0	0	0	2	2	2
Montembeault, Sam	 	11	591	3.05	4	3	2	2	0	30	252	282	0.894	0	1	1	0	4	4	2
Mrazek, Petr	CIN	40	2387	2.39	23	14	3	9	4	95	1009	1104	0.914	0	1	1	6	4	3	4
Neuvirth, Michal	 	7	366	4.26	1	4	1	0	0	26	158	184	0.859	0	0	0	0	3	3	3
Niemi, Antti	 	17	969	3.78	8	6	2	2	0	61	478	539	0.887	0	1	1	0	3	3	2
Nilsson, Anders	SFC	36	2040	2.97	14	19	1	9	2	101	997	1098	0.908	0	1	1	0	3	2	2
Petersen, Calvin	STA	11	622	2.60	5	4	1	4	1	27	328	355	0.924	0	0	0	0	2	2	2
Pickard, Calvin	 	17	747	3.86	4	6	2	5	1	48	336	384	0.875	0	0	0	2	3	3	3
Price, Carey	CHY	66	3880	2.49	35	24	6	7	4	161	1791	1952	0.918	0	1	1	2	4	4	4
Quick, Jonathan	OKL	46	2648	3.38	16	23	7	5	2	149	1180	1329	0.888	0	2	2	6	3	3	2
Miller, Ryan	MEM	20	1109	2.76	8	7	2	2	1	51	527	578	0.912	0	0	0	0	2	2	4
Raanta, Antti	MIL	12	687	2.88	5	6	0	1	0	33	318	351	0.906	0	1	1	0	3	3	2
Reimer, James	GRE	36	1805	3.09	13	12	5	4	0	93	836	929	0.900	0	0	0	0	4	3	3
Rinne, Pekka	MEM	56	3220	2.42	30	19	4	3	4	130	1451	1581	0.918	0	0	0	4	3	4	2
Rittich, David	CHY	45	2503	2.61	27	9	5	0	1	109	1119	1228	0.911	0	0	0	4	3	3	2
