34	68	12	10	22	1	15	0	0	1	0	92	13	13:30	90	0	0	4	0	0	24	2	4	3	4	4	3	0	0	1	0	0	27	2019-20
36	57	13	10	23	0	14	2	1	2	0	134	9.7	15:45	90	0	0	4	0	0	17	3	3	3	4	4	3	0	0	0	0	0	17	2019-20
41	58	34	14	48	12	26	3	2	7	0	195	17.4	19:15	90	0	0	3	0	0	32	4	4	3	3	2	1	0	0	0	0	0	18	2019-20
43	43	8	9	17	12	26	0	1	1	0	76	10.5	13:45	90	0	4	4	0	0	18	3	3	3	4	5	5	0	0	0	0	0	30	2019-20
44	76	30	24	54	-9	38	3	0	4	0	216	13.9	17:00	90	3	3	3	0	0	20	5	5	4	3	2	1	0	0	0	0	1	64	2019-20
45	80	41	28	69	3	20	8	4	8	0	295	13.9	19:30	90	0	0	3	0	0	26	5	5	4	3	2	1	0	0	1	0	0	46	2019-20
56	70	7	13	20	0	31	2	0	1	0	129	5.4	13:00	90	3	0	3	0	0	5	2	2	3	5	4	4	0	0	0	0	3	22	2019-20
57	77	21	26	47	34	52	1	1	4	0	205	10.2	18:00	90	4	0	0	0	0	20	4	3	4	4	2	2	0	0	0	0	3	31	2019-20
59	80	22	52	74	2	30	7	0	5	0	169	13	20:00	90	3	0	0	0	0	23	4	3	5	3	2	1	0	0	0	0	3	108	2019-20
61	26	9	5	14	-9	6	3	0	0	0	43	20.9	15:15	90	0	2	0	0	0	30	4	5	3	2	2	1	0	0	0	0	0	12	2019-20
62	82	16	40	56	8	21	2	1	4	0	126	12.7	16:45	90	0	3	3	0	0	8	4	3	4	2	1	1	0	1	0	0	2	165	2019-20
63	11	0	1	1	0	2	0	0	0	0	5	0	5:45	90	0	0	2	0	0	3	2	3	2	2	3	2	0	0	0	1	0	49	2019-20
64	36	5	9	14	-7	10	3	0	1	0	48	10.4	12:15	90	0	2	2	0	0	19	3	2	3	1	2	1	0	0	0	0	0	39	2019-20
66	80	14	12	26	-4	17	0	2	1	0	60	23.3	11:30	90	3	3	0	0	0	36	3	4	3	4	3	2	0	0	0	0	1	23	2019-20
67	12	1	0	1	-6	4	0	0	0	0	11	9.1	15:15	120	0	0	0	2	2	7	2	2	2	0	2	2	1	0	0	1	0	0	2019-20
69	82	35	61	96	-3	8	13	0	5	0	206	17	22:15	90	4	0	0	0	0	25	4	4	5	5	2	2	0	0	1	0	4	112	2019-20
72	78	14	45	59	-3	36	2	0	2	0	218	6.4	21:45	120	0	0	0	2	2	13	4	4	5	0	2	1	1	0	0	0	0	102	2019-20
75	82	18	44	62	-5	46	3	0	3	0	179	10.1	18:00	90	2	0	0	0	0	8	5	5	5	3	2	1	0	0	0	0	1	153	2019-20
78	20	3	6	9	-2	6	2	0	2	0	18	16.7	13:30	90	0	0	2	0	0	26	3	4	3	2	3	2	0	0	0	1	0	56	2019-20
80	19	2	3	5	2	10	0	0	0	0	25	8	18:15	120	0	0	0	1	1	5	2	2	2	0	2	2	1	0	0	0	0	27	2019-20
81	57	3	10	13	-8	18	0	1	0	0	45	6.7	13:45	90	5	0	0	0	0	12	3	3	3	4	4	3	0	0	1	0	4	32	2019-20
85	48	3	9	12	6	39	0	0	0	0	60	5	15:30	120	0	0	0	2	2	7	3	3	3	0	3	3	3	0	0	0	0	42	2019-20
86	81	18	10	28	1	8	1	0	4	0	156	11.5	14:45	90	0	2	2	0	0	16	4	4	3	5	2	2	0	0	0	0	0	4	2019-20
94	76	6	9	15	2	6	0	2	0	0	108	5.6	12:30	90	5	0	0	0	0	8	3	3	2	3	3	3	0	0	1	0	4	5	2019-20
97	78	27	26	53	14	56	8	0	2	0	189	14.3	18:15	90	0	4	0	0	0	9	5	4	4	5	4	4	0	1	0	0	1	23	2019-20
98	81	5	17	22	15	39	0	0	1	0	93	5.4	18:15	120	0	0	0	4	4	4	3	2	3	0	4	4	4	0	0	1	0	22	2019-20
100	71	13	14	27	-6	93	4	0	2	0	115	11.3	13:15	90	0	3	3	0	0	16	4	4	4	3	4	3	0	0	0	0	2	20	2019-20
101	70	5	12	17	11	33	0	0	0	0	94	5.3	15:00	120	0	0	0	3	3	3	2	2	2	0	3	3	3	0	0	0	0	14	2019-20
106	65	32	47	79	23	30	9	4	3	0	205	15.6	18:30	90	5	0	0	0	0	33	5	3	5	4	3	2	0	0	1	0	5	109	2019-20
108	23	2	2	4	-5	6	0	0	0	0	25	8	13:00	90	3	3	3	0	0	7	2	2	3	2	3	1	0	0	0	0	3	1	2019-20
