1	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040
556	0.936	5.000	5.000	5.000	5.000	5.000	5.000	5.000	UFA												
557	RETIRED																				
558	1.600	UFA																			
559	8.275	8.275	8.275	UFA																	
560	1.713	1.713	1.713	RFA																	
564	1.800	1.800	UFA																		
566	0.900	RFA																			
567	5.475	5.475	UFA																		
568	0.800	UFA																			
571	0.925	0.925	UFA																		
575	4.500	4.500	4.500	4.500	UFA																
1852	0.700	0.700	UFA																		
576	5.167	5.167	5.167	5.167	5.167	5.167	UFA														
577	3.350	3.350	UFA																		
582	1.300	UFA																			
583	5.750	UFA																			
584	0.700	UFA																			
585	0.700	UFA																			
587	0.700	UFA																			
588	0.735	RFA																			
590	5.375	UFA																			
592	5.000	UFA																			
594	1.225	RFA																			
595	0.735	RFA																			
596	0.850	0.850	RFA																		
597	3.333	UFA																			
599	0.700	UFA																			
601	1.000	2.000	2.000	UFA																	
1853	0.700	UFA																			
603	3.333	3.333	UFA																		
604	0.925	RFA																			
605	UFA																				
606	1.400	RFA																			
607	3.350	UFA																			
608	4.000	4.000	UFA																		
610	6.000	6.000	6.000	6.000	6.000	UFA															
612	0.888	RFA																			
614	1.750	1.750	UFA																		
615	1.644	RFA																			
616	4.500	4.500	UFA																		
617	0.925	0.925	0.925	RFA																	
618	1.200	UFA																			
620	1.563	UFA																			
622	2.750	2.750	2.750	2.750	UFA																
623	1.150	RFA																			
625	3.500	UFA																			
626	0.894	0.894	RFA																		
627	2.750	UFA																			
628	0.700	UFA																			
631	6.000	UFA																			
633	1.250	UFA																			
634	5.750	5.750	UFA																		
635	0.700	UFA																			
636	3.857	UFA																			
639	4.950	4.950	4.950	4.950	4.950	UFA															
640	0.700	0.700	UFA																		
642	0.750	UFA																			
645	4.750	UFA																			
647	0.725	RFA																			
648	1.633	1.633	1.633	UFA																	
650	0.863	0.863	RFA																		
652	1.900	1.900	RFA																		
656	1.500	1.500	1.500	1.500	UFA																
657	2.750	UFA																			
660	0.874	RFA																			
661	0.750	RFA																			
662	UFA																				
663	7.143	7.143	7.143	7.143	7.143	7.143	7.143	UFA													
664	2.644	2.644	2.644	RFA																	
1854	0.700	RFA																			
669	7.875	7.875	7.875	7.875	7.875	7.875	UFA														
671	0.960	UFA																			
672	2.800	2.800	RFA																		
1855	1.138	1.138	1.138	RFA																	
673	3.394	3.394	RFA																		
676	0.675	UFA																			
677	6.167	6.167	6.167	6.167	6.167	UFA															
678	3.850	3.850	UFA																		
680	RETIRED																				
681	5.850	5.850	5.850	5.850	5.850	UFA															
683	5.625	5.625	5.625	UFA																	
685	0.700	0.700	RFA																		
1856	0.925	RFA																			
686	2.500	2.500	2.500	UFA																	
1857	0.925	RFA																			
689	0.709	RFA																			
692	1.500	RFA																			
694	0.925	RFA																			
695	1.350	RFA																			
696	3.775	7.250	7.250	7.250	7.250	7.250	7.250	7.250	UFA												
698	5.000	5.000	UFA																		
699	0.874	RFA																			
701	5.188	UFA																			
1858	0.700	0.700	RFA																		
702	2.200	1.700	1.700	UFA																	
704	0.675	2.000	2.000	2.000	UFA																
707	6.100	UFA																			
708	0.850	UFA																			
709	RFA																				
712	5.300	5.300	5.300	5.300	UFA																
713	5.300	UFA																			
714	5.500	5.500	5.500	5.500	UFA																
715	5.275	5.275	UFA																		
717	5.100	UFA																			
719	0.863	0.863	RFA																		
721	0.913	0.913	RFA																		
722	5.900	5.900	5.900	5.900	UFA																
724	0.800	RFA																			
726	3.775	3.775	3.775	RFA																	
727	1.604	1.604	RFA																		
729	0.700	0.700	UFA																		
728	0.715	RFA																			
731	2.250	UFA																			
1859	0.700	0.750	0.750	UFA																	
734	0.700	UFA																			
735	1.500	UFA																			
736	2.750	2.750	UFA																		
737	KHL																				
738	2.250	2.250	UFA																		
739	2.425	2.425	UFA																		
1860	0.925	RFA																			
742	0.675	UFA																			
747	1.675	RFA																			
748	2.300	UFA																			
749	2.000	2.000	2.000	UFA																	
750	0.802	RFA																			
751	0.675	RFA																			
752	KHL																				
754	3.750	3.750	3.750	UFA																	
756	2.500	2.500	2.500	2.500	UFA																
757	8.000	8.000	8.000	8.000	8.000	8.000	UFA														
758	4.500	4.500	UFA																		
759	2.350	2.350	UFA																		
1861	0.700	RFA																			
768	UFA																				
766	6.000	6.000	6.000	6.000	UFA																
767	3.250	3.250	3.250	3.250	UFA																
764	0.700	0.700	RFA																		
765	5.000	5.000	5.000	5.000	5.000	UFA															
771	3.400	3.400	3.400	3.400	UFA																
772	1.000	1.000	1.000	UFA																	
773	1.279	1.279	RFA																		
782	0.815	0.850	0.850	RFA																	
784	5.750	5.750	5.750	5.750	5.750	UFA															
781	0.863	0.863	RFA																		
783	5.400	5.400	5.400	UFA																	
787	0.911	RFA																			
789	4.000	9.059	9.059	9.059	9.059	9.059	9.059	9.059	9.059	UFA											
791	1.673	RFA																			
794	0.750	UFA																			
795	1.063	RFA																			
798	4.500	4.500	4.500	UFA																	
1862	0.925	RFA																			
799	3.775	RFA																			
800	3.575	3.575	3.575	RFA																	
803	0.750	RFA																			
804	1.000	1.000	RFA																		
805	0.800	0.800	UFA																		
806	7.000	7.000	7.000	7.000	7.000	7.000	UFA														
807	10.500	10.500	10.500	10.500	UFA																
809	3.200	3.200	3.200	RFA																	
813	11.500	11.500	11.500	11.500	11.500	11.500	11.500	11.500	UFA												
811	2.000	UFA																			
812	5.900	5.900	5.900	5.900	5.900	5.900	5.900	5.900	UFA												
1863	0.850	0.850	RFA																		
815	2.600	2.600	RFA																		
816	0.675	RFA																			
818	1.950	3.200	3.200	3.200	3.200	UFA															
819	5.538	5.538	5.538	5.538	UFA																
820	1.673	7.150	7.150	7.150	7.150	7.150	7.150	7.150	7.150	UFA											
822	2.000	2.000	2.000	RFA																	
823	0.700	UFA																			
824	2.500	2.500	2.500	UFA																	
828	3.500	3.500	3.500	3.500	UFA																
1864	0.738	0.738	UFA																		
829	6.875	6.875	6.875	UFA																	
830	8.000	8.000	8.000	UFA																	
832	1.200	1.200	RFA																		
833	2.500	UFA																			
835	4.450	4.450	4.450	4.450	UFA																
838	1.750	UFA																			
842	4.167	4.167	4.167	4.167	UFA																
1865	0.700	RFA																			
846	4.250	4.250	4.250	UFA																	
848	KHL																				
851	0.925	RFA																			
854	5.500	UFA																			
858	3.000	3.000	3.000	UFA																	
860	5.500	5.500	5.500	5.500	5.500	5.500	UFA														
864	10.000	10.000	10.000	10.000	10.000	UFA															
866	1.150	RFA																			
867	4.500	4.500	4.500	UFA																	
1866	0.700	0.700	UFA																		
868	1.138	RFA																			
873	3.425	3.425	RFA																		
874	0.700	UFA																			
1867	1.775	1.775	1.775	RFA																	
879	4.625	6.500	6.500	6.500	6.500	6.500	6.500	6.500	UFA												
880	7.250	7.250	UFA																		
882	RETIRED																				
883	5.250	UFA																			
884	SWISS																				
886	1.775	RFA																			
