Matthew	Barnaby		FALSE	FALSE	FALSE	TRUE
Stu	Barnes		FALSE	FALSE	FALSE	TRUE
Tyson	Barrie	8475197	TRUE	FALSE	TRUE	FALSE
Matt	Bartkowski		FALSE	FALSE	TRUE	FALSE
Victor	Bartley		FALSE	FALSE	TRUE	FALSE
Mathew	Barzal	8478445	TRUE	FALSE	FALSE	TRUE
Cody	Bass		FALSE	FALSE	FALSE	TRUE
Shawn	Bates		FALSE	FALSE	FALSE	TRUE
Drake	Batherson	8480208	TRUE	FALSE	FALSE	TRUE
Nolan	Baumgartner		FALSE	FALSE	TRUE	FALSE
Gavin	Bayreuther		FALSE	FALSE	TRUE	FALSE
Jay	Beagle	8474291	TRUE	FALSE	FALSE	TRUE
Ethan	Bear	8478451	TRUE	FALSE	TRUE	FALSE
Francois	Beauchemin		FALSE	FALSE	TRUE	FALSE
J.C.	Beaudin	8478833	TRUE	FALSE	FALSE	TRUE
Nathan	Beaulieu	8476470	TRUE	FALSE	TRUE	FALSE
Anthony	Beauvillier	8478463	TRUE	FALSE	FALSE	TRUE
Taylor	Beck		FALSE	FALSE	FALSE	TRUE
Steve	Begin		FALSE	FALSE	FALSE	TRUE
Eric	Belanger		FALSE	FALSE	FALSE	TRUE
Matt	Beleskey		FALSE	FALSE	FALSE	TRUE
Ed	Belfour		FALSE	TRUE	FALSE	FALSE
Mark	Bell		FALSE	FALSE	FALSE	TRUE
Brendan	Bell		FALSE	FALSE	TRUE	FALSE
Pierre-Edouard	Bellemare	8477930	TRUE	FALSE	FALSE	TRUE
Brett	Bellemore		FALSE	FALSE	TRUE	FALSE
Emil	Bemstrom	8480205	TRUE	FALSE	FALSE	TRUE
Jamie	Benn	8473994	TRUE	FALSE	FALSE	TRUE
Jordie	Benn	8474818	TRUE	FALSE	TRUE	FALSE
Beau	Bennett		FALSE	FALSE	FALSE	TRUE
Sam	Bennett	8477935	TRUE	FALSE	FALSE	TRUE
Matt	Benning	8476988	TRUE	FALSE	TRUE	FALSE
Andre	Benoit		FALSE	FALSE	TRUE	FALSE
Bryan	Berard		FALSE	FALSE	TRUE	FALSE
