1807	50	3	9	12	-3	44	0	0	0	0	53	5.7	11:15	90	0	0	3	0	0	8	3	3	3	3	4	4	0	0	0	0	0	85	2021-22
56	15	3	1	4	-4	4	0	0	1	0	30	10.0	12:45	90	3	0	3	0	0	34	3	2	2	3	3	4	0	1	0	2	3	0	2021-22
57	54	9	23	32	-7	30	0	1	1	0	144	6.3	17:30	90	4	0	0	0	0	255	5	4	4	3	2	2	0	0	1	0	3	468	2021-22
59	55	15	38	53	0	14	5	0	0	0	91	16.5	18:30	90	2	0	0	0	0	29	4	3	5	2	1	1	0	0	0	0	3	126	2021-22
62	54	8	27	35	12	4	0	0	1	0	77	10.4	17:30	90	0	3	3	0	0	8	4	4	4	3	1	1	0	0	0	0	1	999	2021-22
64	41	8	9	17	-6	16	0	0	2	0	66	12.1	14:45	90	0	2	2	0	0	19	3	3	3	2	3	2	0	0	0	1	0	52	2021-22
2093	22	3	5	8	1	6	1	0	1	0	23	13.0	12:15	90	0	2	0	0	0	25	3	3	3	3	2	1	0	0	0	1	0	108	2021-22
66	38	5	7	12	5	6	1	0	1	0	43	11.6	13:15	90	3	3	0	0	0	25	4	3	3	4	3	2	0	0	0	0	2	35	2021-22
69	50	26	32	58	12	14	7	1	6	0	176	14.8	21:00	90	5	0	0	0	0	13	5	4	4	2	1	2	0	1	0	0	4	51	2021-22
2103	15	3	0	3	0	0	2	0	0	0	26	11.5	15:15	90	0	2	2	0	0	34	3	3	3	1	2	1	0	0	0	0	0	0	2021-22
72	56	8	40	48	5	10	4	0	2	0	146	5.5	21:30	120	0	0	0	0	2	248	5	4	5	0	2	1	2	0	0	1	0	292	2021-22
75	55	17	28	45	15	48	1	0	1	0	134	12.7	18:45	90	2	2	0	0	0	16	5	5	5	2	1	2	0	0	0	0	2	999	2021-22
2098	41	3	7	10	0	21	0	0	0	0	46	6.5	12:30	90	0	4	4	0	0	7	3	3	2	3	5	4	0	1	0	1	0	74	2021-22
78	56	17	17	34	-17	8	5	0	3	0	111	15.3	16:30	90	0	0	1	0	0	23	4	4	4	3	3	3	0	0	0	0	0	42	2021-22
80	9	1	0	1	-1	7	0	0	0	0	16	6.3	15:15	120	0	0	0	1	1	27	3	2	1	0	4	2	2	0	0	0	0	0	2021-22
81	30	1	4	5	-2	8	0	0	0	0	21	4.8	12:30	90	4	0	0	0	0	26	2	2	2	4	3	2	0	0	1	0	4	36	2021-22
2104	42	1	11	12	-2	10	1	0	0	0	55	1.8	14:30	120	0	0	0	1	1	255	3	4	4	0	3	1	1	0	0	0	0	67	2021-22
82	43	2	6	8	-1	14	0	0	1	0	53	3.8	18:00	120	0	0	0	0	3	253	3	3	3	0	2	2	2	0	0	1	0	3	2021-22
2105	19	2	4	6	1	2	0	0	0	0	7	28.6	13:45	120	0	0	0	1	1	224	2	3	3	0	3	1	2	0	0	1	0	35	2021-22
85	25	0	1	1	-5	20	0	0	0	0	26	0.0	16:45	120	0	0	0	2	2	1	3	3	2	0	4	2	3	0	0	1	0	0	2021-22
86	47	15	13	28	15	12	3	0	5	0	109	13.8	16:30	90	0	3	0	0	0	19	4	4	4	4	2	2	0	0	0	0	0	19	2021-22
94	53	9	2	11	6	21	0	0	0	0	60	15.0	11:15	90	5	0	5	0	0	19	2	3	2	4	2	3	0	0	1	1	5	0	2021-22
2106	14	3	0	3	0	4	0	0	1	0	19	15.8	11:00	90	0	2	0	0	0	26	2	4	2	3	5	3	0	0	0	0	0	0	2021-22
96	20	3	2	5	2	0	1	0	0	0	28	10.7	12:45	90	0	3	3	0	0	37	3	4	3	2	2	1	0	0	0	0	0	11	2021-22
97	52	11	24	35	13	33	3	0	2	0	124	8.9	17:45	90	4	4	0	0	0	19	4	3	5	4	2	4	0	0	0	0	4	118	2021-22
98	39	1	9	10	7	9	0	0	0	0	45	2.2	14:45	120	0	0	0	3	3	15	1	1	2	0	1	4	3	0	0	2	0	83	2021-22
100	48	10	17	27	-2	52	1	0	4	0	106	9.4	14:30	90	3	3	3	0	0	11	4	4	4	4	3	4	0	1	0	0	2	276	2021-22
101	53	1	3	4	-1	30	0	0	0	0	43	2.3	16:15	120	0	0	0	0	2	15	2	2	2	0	3	2	3	0	0	1	0	1	2021-22
106	54	23	25	48	27	16	7	3	3	0	182	12.6	18:15	90	5	0	0	0	0	32	4	4	5	4	1	3	0	0	1	0	5	34	2021-22
