15	"Arvidsson, Viktor"	STA	RW	11	7	1	8	4	6	0	0	2	0	44	15.9	199	18.1	0	0	0	0.0	35	16	51	68.6	9	9	18	50.0	0	0	0	0	0.0	15	1.36	0	0.000	0	3	3	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
16	"Aston-Reese, Zach*"	ATL	LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Rookie
17	"Athanasiou, Andreas"	SCS	RW	5	1	2	3	-4	0	1	0	0	0	19	5.3	109	21.8	2	0	2	100.0	36	17	53	67.9	4	10	14	28.6	0	0	0	0	0.0	2	0.40	0	0.000	0	1	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
18	"Atkinson, Cam"	MIL	RW	14	6	6	12	-2	6	1	0	2	0	72	8.3	261	18.6	2	1	3	66.7	86	21	107	80.4	5	21	26	19.2	0	0	0	0	0.0	14	1.00	0	0.000	3	3	2	1	0	0	0	0	0	0	2019-20	Playoffs	Veteran
19	"B. McGinn, Brock"	STA	LW	11	1	1	2	1	0	0	1	0	0	13	7.7	96	8.7	2	3	5	40.0	25	8	33	75.8	10	5	15	66.7	0	0	0	0	0.0	12	1.09	0	0.000	0	1	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
20	"B. Nelson, Brock"	CHY	C	7	0	0	0	-3	0	0	0	0	0	4	0.0	53	7.6	7	14	21	33.3	9	10	19	47.4	3	3	6	50.0	0	0	0	0	0.0	4	0.57	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
21	"B. Ritchie, Brett"		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
22	"B. Ryan, Bobby"		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
23	"B. Schenn, Brayden"	MSG	C	4	1	0	1	-2	0	0	0	0	0	8	12.5	58	14.5	3	17	20	15.0	23	4	27	85.2	3	1	4	75.0	0	0	0	0	0.0	3	0.75	0	0.000	1	1	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
24	"B. Tanev, Brandon"	KEL	RW	7	2	2	4	3	2	0	0	1	0	29	6.9	132	18.9	2	1	3	66.7	31	8	39	79.5	13	8	21	61.9	0	0	0	0	0.0	18	2.57	2	0.286	0	2	1	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
25	"B. Tkachuk, Brady*"	GRE	LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Rookie
26	"Backes, David"		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
27	"Backlund, Mikael"	MIL	C	14	1	0	1	-4	8	1	0	0	0	20	5.0	187	13.4	40	50	90	44.4	40	18	58	69.0	14	10	24	58.3	0	0	0	0	0.0	20	1.43	0	0.000	0	1	3	1	0	0	0	0	0	0	2019-20	Playoffs	Veteran
28	"Backstrom, Nicklas"	MSG	C	4	1	2	3	-1	2	1	0	0	0	9	11.1	72	18.0	26	50	76	34.2	25	4	29	86.2	6	6	12	50.0	0	0	0	0	0.0	3	0.75	0	0.000	3	3	1	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
29	"Baertschi, Sven"		LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
30	"Balcers, Rudolfs*"	GRE	LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Rookie
31	"Barbashev, Ivan"	OAK	C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Playoffs	Veteran
32	"Barkov, Aleksander"	IND	C	17	7	12	19	3	4	3	0	1	0	36	19.4	363	21.4	188	169	357	52.7	158	30	188	84.0	30	28	58	51.7	0	0	0	0	0.0	33	1.94	1	0.059	0	6	1	1	0	0	0	0	0	0	2019-20	Playoffs	Veteran
